"","URN","not_sustained_rate","urban_rural","denomination","FSM","White_British","region_name","school_name","headcount","susp_rate","KS2_history","Attainment_8","Progress_8","selective","POSTCODE","post16","school_sex","type","Ofsted_rating","sen_support","LSOA11","IMD"
"1831",136013,5.92592592592593,"(England/Wales) Urban city and town","Church of England","25.4","89.1","South East","The Bay Church of England School",1306,13.47626,103.2,"38.2",-0.48,0,"PO36 9BA",0,"Mixed","Voluntary controlled school","Good",16.3565891472868,"E01017348",4
"1832",136012,6.66666666666667,"(England/Wales) Urban city and town","No religious character","22.2","95.7","South East","Carisbrooke College",609,8.867,103.3,"38.8",-0.54,0,"PO30 5QU",0,"Mixed","Foundation school","Requires improvement",10.7794361525705,"E01017293",9
"1833",136753,9.58904109589041,"(England/Wales) Urban city and town","No religious character","26.8","77","South East","Ryde Academy",1498,2.46996,103.4,"43.7",-0.07,0,"PO33 3LN",1,"Mixed","Academy sponsor led","Good",20.6081081081081,"E01017342",3
"1834",140845,4.27807486631016,"(England/Wales) Urban city and town","No religious character","20.1","86.3","South East","Cowes Enterprise College, An Ormiston Academy",1269,10.7959,104.9,"46.8",-0.09,0,"PO31 8HB",1,"Mixed","Academy sponsor led","Good",19.6656050955414,"E01017301",9
"1835",140691,7.31707317073171,"(England/Wales) Rural town and fringe","No religious character","18.5","89.2","South East","The Island Free School",627,1.91388,104.3,"49",0.23,0,"PO38 1BG",0,"Mixed","Free schools","Good",12.5200642054575,"E01017366",2
"1836",124856,2.9535864978903,"(England/Wales) Urban city and town","Church of England","18.5","77.8","East of England","King Edward VI CEVC School",1203,9.55943,102.5,"42.9",-0.12,0,"IP33 3BH",0,"Mixed","Voluntary controlled school","Good",9.35672514619883,"E01033043",6
"1837",137208,5.30973451327434,"(England/Wales) Rural village","No religious character","21.4","71.9","East of England","Holbrook Academy",578,16.78201,103.1,"38.4",-0.61,0,"IP9 2QX",0,"Mixed","Academy converter","Good",13.6206896551724,"E01029897",9
"1838",137849,2.9940119760479,"(England/Wales) Urban city and town","Roman Catholic","20.6","39.9","East of England","St Alban's Catholic High School",1018,4.71513,105.3,"48.9",0.11,0,"IP4 3NJ",1,"Mixed","Academy converter","Good",8.56299212598425,"E01029963",9
"1839",138250,3.96039603960396,"(England/Wales) Rural town and fringe","No religious character","24.1","81.2","East of England","Breckland School",604,11.92053,101.8,"38",-0.34,0,"IP27 0PE",0,"Mixed","Free schools","Good",9.71993410214168,"E01029929",4
"1840",139403,6.66666666666667,"(England/Wales) Urban city and town","No religious character","55.8","88.1","East of England","Ormiston Denes Academy",761,36.79369,100.7,"35.6",-0.41,0,"NR32 4AH",0,"Mixed","Academy sponsor led","Requires improvement",29.986962190352,"E01030262",2
"1841",136453,5.42168674698795,"(England/Wales) Urban city and town","No religious character","37.5","67.6","East of England","Ipswich Academy",1033,21.00678,101.9,"35.7",-0.54,0,"IP3 0SP",1,"Mixed","Academy sponsor led","Requires improvement",6.51340996168582,"E01033128",3
"1842",146909,6.875,"(England/Wales) Urban city and town","No religious character","36","88.2","East of England","Pakefield High School",690,5.7971,103.3,"39.1",-0.53,0,"NR33 7AQ",0,"Mixed","Academy converter","Good",16.448326055313,"E01030272",5
"1843",124840,2.14285714285714,"(England/Wales) Urban city and town","No religious character","15.7","61.8","East of England","Northgate High School",1711,1.34424,105,"51.2",0.34,0,"IP4 3DL",1,"Mixed","Community school","Good",9.83606557377049,"E01030001",5
"1844",136757,5.40540540540541,"(England/Wales) Rural village","No religious character","17.1","88.3","East of England","Stour Valley Community School",585,7.17949,105.7,"47.4",-0.15,0,"CO10 8PJ",0,"Mixed","Free schools","Good",12.6079447322971,"E01030101",7
"1845",140032,8.8,"(England/Wales) Urban city and town","No religious character","39.8","43.4","East of England","Stoke High School - Ormiston Academy",771,12.84047,98.3,"32.7",-0.41,0,"IP2 8PL",0,"Mixed","Academy sponsor led","Good",13.5376756066411,"E01029969",2
"1846",124802,3.54330708661417,"(England/Wales) Rural town and fringe","No religious character","15.6","82.7","East of England","Thurston Community College",1494,13.25301,103.9,"44.4",-0.16,0,"IP31 3PB",1,"Mixed","Community school","Good",12.4749833222148,"E01030084",10
